n,SW,100+,50+,손절,SW률%,손절률%,투자만,수익만,수익률%,풀,year,모드
711,29,126,270,15,4.1,2.1,7110.0,2344,33.0,100,2023,daily_3
241,50,73,154,20,20.7,8.3,2410.0,1525,63.3,100,2023,daily_must
204,49,70,129,15,24.0,7.4,2040.0,1394,68.4,100,2023,weekly_var
716,33,146,307,71,4.6,9.9,7160.0,2606,36.4,100,2024,daily_3
241,25,79,140,34,10.4,14.1,2410.0,1068,44.3,100,2024,daily_must
203,19,67,120,30,9.4,14.8,2030.0,886,43.6,100,2024,weekly_var
696,170,347,548,5,24.4,0.7,6960.0,7585,109.0,100,2025,daily_3
235,67,165,197,6,28.5,2.6,2350.0,2859,121.7,100,2025,daily_must
205,58,157,178,6,28.3,2.9,2050.0,2638,128.7,100,2025,weekly_var
280,9,30,82,3,3.2,1.1,2800.0,1012,36.1,100,2026,daily_3
94,11,22,27,0,11.7,0.0,940.0,357,38.0,100,2026,daily_must
81,12,25,31,2,14.8,2.5,810.0,437,53.9,100,2026,weekly_var
725,44,114,256,44,6.1,6.1,7250.0,2546,35.1,150,2023,daily_3
244,69,103,177,20,28.3,8.2,2440.0,2334,95.7,150,2023,daily_must
197,57,87,145,17,28.9,8.6,1970.0,2049,104.0,150,2023,weekly_var
723,43,130,292,64,5.9,8.9,7230.0,2627,36.3,150,2024,daily_3
243,17,69,170,30,7.0,12.3,2430.0,1121,46.1,150,2024,daily_must
204,11,64,137,30,5.4,14.7,2040.0,900,44.1,150,2024,weekly_var
712,160,298,517,6,22.5,0.8,7120.0,9048,127.1,150,2025,daily_3
239,87,183,217,3,36.4,1.3,2390.0,3612,151.1,150,2025,daily_must
204,83,159,186,4,40.7,2.0,2040.0,3286,161.1,150,2025,weekly_var
282,32,59,100,11,11.3,3.9,2820.0,1617,57.3,150,2026,daily_3
94,15,23,26,4,16.0,4.3,940.0,551,58.6,150,2026,daily_must
82,18,24,28,3,22.0,3.7,820.0,611,74.5,150,2026,weekly_var
729,36,97,212,36,4.9,4.9,7290.0,2120,29.1,200,2023,daily_3
244,52,98,174,23,21.3,9.4,2440.0,2086,85.5,200,2023,daily_must
203,50,93,151,12,24.6,5.9,2030.0,1940,95.5,200,2023,weekly_var
726,23,103,300,101,3.2,13.9,7260.0,2116,29.1,200,2024,daily_3
243,20,79,163,35,8.2,14.4,2430.0,1131,46.6,200,2024,daily_must
204,13,59,126,34,6.4,16.7,2040.0,846,41.5,200,2024,weekly_var
717,219,402,569,7,30.5,1.0,7170.0,13179,183.8,200,2025,daily_3
241,111,197,225,4,46.1,1.7,2410.0,4353,180.6,200,2025,daily_must
201,98,168,188,5,48.8,2.5,2010.0,3839,191.0,200,2025,weekly_var
282,29,51,79,13,10.3,4.6,2820.0,1368,48.5,200,2026,daily_3
94,26,30,36,3,27.7,3.2,940.0,748,79.5,200,2026,daily_must
81,25,34,40,1,30.9,1.2,810.0,775,95.7,200,2026,weekly_var
733,20,62,177,55,2.7,7.5,7330.0,1230,16.8,300,2023,daily_3
245,43,88,152,36,17.6,14.7,2450.0,1384,56.5,300,2023,daily_must
202,38,67,117,35,18.8,17.3,2020.0,1067,52.8,300,2023,weekly_var
729,18,94,327,58,2.5,8.0,7290.0,2256,30.9,300,2024,daily_3
244,50,99,145,53,20.5,21.7,2440.0,1377,56.4,300,2024,daily_must
202,48,94,128,38,23.8,18.8,2020.0,1378,68.2,300,2024,weekly_var
722,211,377,512,12,29.2,1.7,7220.0,10757,149.0,300,2025,daily_3
242,134,203,219,5,55.4,2.1,2420.0,5865,242.4,300,2025,daily_must
202,123,176,186,4,60.9,2.0,2020.0,4995,247.3,300,2025,weekly_var
282,45,75,121,7,16.0,2.5,2820.0,1568,55.6,300,2026,daily_3
94,25,45,55,2,26.6,2.1,940.0,825,87.8,300,2026,daily_must
80,27,41,50,3,33.8,3.8,800.0,813,101.6,300,2026,weekly_var
735,16,76,135,20,2.2,2.7,7350.0,1378,18.7,600,2023,daily_3
245,36,88,132,56,14.7,22.9,2450.0,956,39.0,600,2023,daily_must
201,28,68,101,54,13.9,26.9,2010.0,736,36.6,600,2023,weekly_var
731,18,66,206,41,2.5,5.6,7310.0,1714,23.4,600,2024,daily_3
244,35,80,129,72,14.3,29.5,2440.0,953,39.1,600,2024,daily_must
197,31,63,102,56,15.7,28.4,1970.0,881,44.7,600,2024,weekly_var
726,125,188,397,16,17.2,2.2,7260.0,5898,81.2,600,2025,daily_3
242,111,164,211,13,45.9,5.4,2420.0,4625,191.1,600,2025,daily_must
205,102,144,181,11,49.8,5.4,2050.0,4161,203.0,600,2025,weekly_var
282,37,39,105,4,13.1,1.4,2820.0,1769,62.7,600,2026,daily_3
94,11,37,69,7,11.7,7.4,940.0,529,56.3,600,2026,daily_must
81,13,36,61,5,16.0,6.2,810.0,569,70.3,600,2026,weekly_var
