w_sw,w_100,w_50,w_loss,n,SW,손절,SW률%,손절률%,투자만,수익만,수익률%
2.0,1.0,1.0,1.0,682,239,81,35.0,11.9,6820.0,8417,123.4
2.0,1.0,1.0,2.0,682,238,81,34.9,11.9,6820.0,8379,122.9
2.0,1.0,1.0,3.0,681,237,80,34.8,11.7,6810.0,8373,123.0
2.0,1.0,1.0,5.0,674,228,79,33.8,11.7,6740.0,8301,123.2
2.0,1.5,1.0,1.0,682,241,83,35.3,12.2,6820.0,8381,122.9
2.0,1.5,1.0,2.0,679,236,86,34.8,12.7,6790.0,8272,121.8
2.0,1.5,1.0,3.0,679,237,83,34.9,12.2,6790.0,8327,122.6
2.0,1.5,1.0,5.0,673,229,83,34.0,12.3,6730.0,8369,124.4
2.0,2.0,1.0,1.0,683,241,83,35.3,12.2,6830.0,8354,122.3
2.0,2.0,1.0,2.0,680,238,85,35.0,12.5,6800.0,8314,122.3
2.0,2.0,1.0,3.0,676,236,86,34.9,12.7,6760.0,8276,122.4
2.0,2.0,1.0,5.0,672,228,85,33.9,12.6,6720.0,8264,123.0
3.0,1.0,1.0,1.0,686,235,80,34.3,11.7,6860.0,8149,118.8
3.0,1.0,1.0,2.0,689,237,76,34.4,11.0,6890.0,8321,120.8
3.0,1.0,1.0,3.0,690,237,81,34.3,11.7,6900.0,8367,121.3
3.0,1.0,1.0,5.0,681,235,80,34.5,11.7,6810.0,8313,122.1
3.0,1.5,1.0,1.0,686,237,82,34.5,12.0,6860.0,8142,118.7
3.0,1.5,1.0,2.0,686,236,80,34.4,11.7,6860.0,8253,120.3
3.0,1.5,1.0,3.0,688,236,83,34.3,12.1,6880.0,8281,120.4
3.0,1.5,1.0,5.0,681,237,80,34.8,11.7,6810.0,8385,123.1
3.0,2.0,1.0,1.0,686,235,80,34.3,11.7,6860.0,8144,118.7
3.0,2.0,1.0,2.0,686,237,83,34.5,12.1,6860.0,8273,120.6
3.0,2.0,1.0,3.0,685,235,84,34.3,12.3,6850.0,8207,119.8
3.0,2.0,1.0,5.0,681,235,81,34.5,11.9,6810.0,8418,123.6
5.0,1.0,1.0,1.0,685,236,71,34.5,10.4,6850.0,8077,117.9
5.0,1.0,1.0,2.0,687,236,72,34.4,10.5,6870.0,8229,119.8
5.0,1.0,1.0,3.0,685,233,74,34.0,10.8,6850.0,8208,119.8
5.0,1.0,1.0,5.0,688,237,79,34.4,11.5,6880.0,8254,120.0
5.0,1.5,1.0,1.0,687,236,72,34.4,10.5,6870.0,8137,118.4
5.0,1.5,1.0,2.0,686,238,75,34.7,10.9,6860.0,8155,118.9
5.0,1.5,1.0,3.0,686,236,78,34.4,11.4,6860.0,8236,120.1
5.0,1.5,1.0,5.0,690,240,82,34.8,11.9,6900.0,8312,120.5
5.0,2.0,1.0,1.0,688,232,76,33.7,11.0,6880.0,8042,116.9
5.0,2.0,1.0,2.0,685,237,77,34.6,11.2,6850.0,8087,118.1
5.0,2.0,1.0,3.0,689,235,78,34.1,11.3,6890.0,8246,119.7
5.0,2.0,1.0,5.0,690,236,82,34.2,11.9,6900.0,8269,119.8
7.0,1.0,1.0,1.0,685,232,74,33.9,10.8,6850.0,8004,116.8
7.0,1.0,1.0,2.0,686,235,74,34.3,10.8,6860.0,8051,117.4
7.0,1.0,1.0,3.0,686,236,71,34.4,10.3,6860.0,8218,119.8
7.0,1.0,1.0,5.0,689,236,70,34.3,10.2,6890.0,8247,119.7
7.0,1.5,1.0,1.0,685,233,73,34.0,10.7,6850.0,8008,116.9
7.0,1.5,1.0,2.0,687,237,74,34.5,10.8,6870.0,8149,118.6
7.0,1.5,1.0,3.0,687,236,74,34.4,10.8,6870.0,8198,119.3
7.0,1.5,1.0,5.0,689,236,73,34.3,10.6,6890.0,8208,119.1
7.0,2.0,1.0,1.0,686,231,72,33.7,10.5,6860.0,8014,116.8
7.0,2.0,1.0,2.0,688,239,73,34.7,10.6,6880.0,8192,119.1
7.0,2.0,1.0,3.0,690,239,74,34.6,10.7,6900.0,8315,120.5
7.0,2.0,1.0,5.0,689,238,74,34.5,10.7,6890.0,8254,119.8
