YearWeek,n,strong_n,추천_n,위험_n
2023-01,44,9,6,11
2023-02,104,18,15,30
2023-03,140,27,16,37
2023-04,131,27,21,17
2023-05,238,50,35,39
2023-06,261,51,43,43
2023-07,247,49,33,43
2023-08,185,36,27,26
2023-09,126,27,17,19
2023-10,164,30,22,35
2023-11,122,18,20,31
2023-12,109,21,17,26
2023-13,174,29,27,50
2023-14,176,34,26,51
2023-15,214,40,28,63
2023-16,139,24,13,41
2023-17,102,22,17,16
2023-18,84,15,12,10
2023-19,141,25,27,13
2023-20,143,25,22,21
2023-21,189,36,34,13
2023-22,165,32,24,22
2023-23,186,34,28,26
2023-24,221,46,34,44
2023-25,185,37,31,35
2023-26,166,34,27,25
2023-27,132,26,13,44
2023-28,162,31,19,45
2023-29,121,27,17,34
2023-30,157,30,22,66
2023-31,170,33,22,46
2023-32,152,29,17,42
2023-33,82,17,7,20
2023-34,113,22,8,32
2023-35,161,32,17,37
2023-36,141,23,17,33
2023-37,201,33,35,23
2023-38,151,29,26,13
2023-39,54,12,10,6
2023-40,44,8,5,9
2023-41,98,17,14,16
2023-42,99,20,19,7
2023-43,34,10,6,2
2023-44,70,12,11,9
2023-45,150,26,22,27
2023-46,235,42,31,48
2023-47,270,54,41,48
2023-48,325,60,47,73
2023-49,222,44,31,28
2023-50,276,49,42,35
2023-51,230,43,32,42
2023-52,154,26,21,28
2024-00,129,22,17,33
2024-01,108,19,18,38
2024-02,85,15,7,27
2024-03,118,17,16,30
2024-04,262,45,38,33
2024-05,145,18,19,37
2024-06,145,20,20,37
2024-07,200,32,21,45
2024-08,117,12,12,34
2024-09,186,17,18,77
2024-10,166,17,14,57
2024-11,161,15,14,71
2024-12,140,13,9,59
2024-13,123,14,16,42
2024-14,76,12,7,38
2024-15,106,15,12,46
2024-16,114,13,12,53
2024-17,113,10,10,50
2024-18,127,14,15,51
2024-19,132,12,13,58
2024-20,180,23,20,70
2024-21,146,23,18,48
2024-22,111,16,12,44
2024-23,140,18,12,62
2024-24,149,21,15,57
2024-25,138,20,17,40
2024-26,142,15,20,38
2024-27,198,18,25,63
2024-28,172,20,19,42
2024-29,128,14,16,38
2024-30,140,15,18,33
2024-31,69,14,4,20
2024-32,89,15,10,24
2024-33,177,33,24,31
2024-34,142,19,21,35
2024-35,112,16,19,23
2024-36,109,19,14,29
2024-37,61,12,8,15
2024-38,126,22,10,41
2024-39,48,5,4,24
2024-40,95,14,6,44
2024-41,189,22,10,80
2024-42,158,21,13,63
2024-43,140,19,11,45
2024-44,163,18,11,67
2024-45,103,9,16,45
2024-46,136,14,17,51
2024-47,145,20,21,32
2024-48,110,14,15,34
2024-49,79,10,10,27
2024-50,91,13,8,43
2024-51,72,7,5,34
2024-52,13,3,2,5
2025-00,66,10,5,32
2025-01,170,27,11,82
2025-02,156,16,10,69
2025-03,150,14,14,79
2025-04,35,2,1,17
2025-05,157,17,7,79
2025-06,222,18,9,112
2025-07,313,24,9,157
2025-08,217,20,13,86
2025-09,146,18,5,76
2025-10,128,13,6,60
2025-11,138,13,9,49
2025-12,80,7,11,22
2025-13,43,4,5,12
2025-14,35,3,1,19
2025-15,110,12,6,53
2025-16,175,28,10,66
2025-17,188,22,14,70
2025-18,180,16,12,83
2025-19,278,32,29,105
2025-20,210,26,20,65
2025-21,293,27,33,103
2025-22,211,25,17,93
2025-23,333,38,23,148
2025-24,270,29,17,143
2025-25,268,33,19,141
2025-26,250,22,18,121
2025-27,229,27,22,101
2025-28,214,19,20,102
2025-29,150,11,13,81
2025-30,165,15,8,97
2025-31,148,15,3,91
2025-32,145,16,12,79
2025-33,105,13,6,46
2025-34,162,26,12,72
2025-35,123,14,9,53
2025-36,194,29,22,74
2025-37,230,28,19,95
2025-38,163,25,13,68
2025-39,120,17,3,65
2025-40,50,6,2,25
2025-41,187,16,15,85
2025-42,227,19,9,118
2025-43,273,34,7,160
2025-44,205,22,6,106
2025-45,248,25,9,115
2025-46,104,6,8,55
2025-47,126,12,0,71
2025-48,201,20,12,68
2025-49,165,20,9,75
2025-50,153,25,11,48
2025-51,115,12,4,46
2025-52,46,9,5,26
2026-00,39,7,7,7
2026-01,183,37,35,25
2026-02,234,45,43,28
2026-03,273,54,50,42
2026-04,400,83,72,55
2026-05,245,51,38,27
2026-06,294,56,51,38
2026-07,151,30,31,8
2026-08,236,48,41,38
2026-09,93,20,11,34
2026-10,196,38,37,56
2026-11,241,45,43,61
2026-12,171,36,29,41
2026-13,103,22,19,27
2026-14,155,31,30,43
2026-15,270,49,46,95
2026-16,344,66,58,112
2026-17,251,47,43,80
2026-18,272,54,48,69
2026-19,216,38,25,95
2026-20,71,13,6,38
