rule,n_excluded,exc_loser_rate,exc_sw_rate,rem_n,rem_loser_rate,rem_sw_rate,rem_w100_rate,rem_avg_peak
X7. 외국인 20일 누적순매수 하위10% (집중 매도),391,16.36828644501279,2.813299232736573,4618,22.08748375920312,8.27197921177999,23.25682113469034,75.8371075414516
X8. 기관 20일 누적순매수 하위10%,391,22.506393861892583,6.3938618925831205,4618,21.567778258986575,7.968817669987008,22.88869640537029,74.70066885020903
X9. 외인+기관 동시 20일 누적 순매도,334,17.964071856287426,9.281437125748502,4675,21.90374331550802,7.743315508021391,22.35294117647059,73.43394295665186
X10. PER > 50 (고평가),1154,16.11785095320624,14.038128249566725,3855,23.294422827496756,5.992217898832685,19.58495460440986,65.53512151632751
X12. PBR > 5,1856,21.174568965517242,15.086206896551724,3153,21.915635902315255,3.5838883602917857,15.35045987947986,55.723771285110594
X13. 강하락추세+52주고점 -50%↓,36,50.0,2.7777777777777777,4973,21.43575306655942,7.882565855620349,22.38085662577921,74.20759928785486
X14. 60일 drawdown -30%↓,295,13.220338983050848,24.06779661016949,4714,22.1680101824353,6.830717013152313,21.149766652524395,70.56999603664477
X15. 60일 변동성 상위10% (극변동),501,16.367265469061877,21.756487025948104,4508,22.22715173025732,6.299911268855368,20.297249334516415,68.74581465650125
X16. 60일 가격range 상위10%,501,12.574850299401197,23.55289421157685,4508,22.648624667258208,6.100266193433895,19.809228039041706,67.12600840837572
X17. 60일 +80%↑ (단기과열),67,13.432835820895523,23.88059701492537,4942,21.752326993120192,7.628490489680291,22.01537838931607,72.39993122368722
X18. 60일 -30%↓ (낙폭과대),3,0.0,33.33333333333333,5006,21.654015181781862,7.830603276068718,22.333200159808232,74.02025920516805
