rule,n,포착비율,SW농도,100%+농도,50%+농도,평균peak,평균ret
P2. slope60 ≥ 0.5 (상승추세),2831,56.51826711918546,8.795478629459556,23.949134581419994,45.743553514659126,77.74445803317839,32.60500209466529
P3. 상승추세+1년 -20~+60% (과열X),1634,32.621281692952685,7.527539779681762,22.215422276621787,40.69767441860465,72.92074971818444,27.567978123488153
P4. 52주高 -30~-10% (눌림목),2062,41.16590137752046,6.9835111542192045,20.077594568380214,39.52473326867119,70.43413530096514,26.05342831843097
P7. 외국인 20일 누적순매수 상위25%,978,19.524855260531044,6.748466257668712,18.609406952965234,41.513292433537835,67.72609403014744,26.010439468864906
P9. 외인+기관 동시 20일 순매수,1933,38.59053703333999,6.673564407656493,22.55561303673047,41.80031039834454,69.06261818477441,26.471680973194985
P1. 60일 -10~+30% (안정 추세),4241,84.66759832301857,6.224946946474888,20.207498231549163,41.287432209384576,66.49188438900903,23.04896904203139
P6. 52주高 -20%↑ + 안정 60일,2071,41.34557795967259,5.697730564944472,19.26605504587156,42.25012071463061,65.9248096682589,24.53329286876683
P8. 기관 20일 누적순매수 상위25%,978,19.524855260531044,4.08997955010225,14.314928425357873,37.423312883435585,56.570825255702644,20.933077547604416
P5. 52주저점 근접,1573,31.40347374725494,3.814367450731087,13.795295613477432,31.46853146853147,52.69651261018206,11.557532887115148
P10. PER 0~20 (저평가),1667,33.28009582751048,2.099580083983203,14.577084583083384,35.27294541091781,50.42295546258039,14.178440482624035
P11. PBR 0~2 (자산저평가),2134,42.60331403473747,1.640112464854733,11.808809746954077,31.91190253045923,46.48791441804259,10.821808580569263
