전략,year,매수,SW,손절,SW률%,손절률%,투자만,수익만,수익률%
X0_base,2023,191,33,30,17.3,15.7,1910.0,962,50.4
X1_loss10,2023,191,33,30,17.3,15.7,1910.0,962,50.4
X2_loss05,2023,191,33,30,17.3,15.7,1910.0,962,50.4
X3_loss50_strong,2023,164,30,24,18.3,14.6,1640.0,927,56.5
X4_p_loss_lt_15,2023,134,0,0,0.0,0.0,1340.0,225,16.8
X5_p_loss_lt_10,2023,120,0,0,0.0,0.0,1200.0,213,17.7
X7_strong_only,2023,157,28,28,17.8,17.8,1570.0,747,47.6
X9_no_2023_2024,2023,162,28,29,17.3,17.9,1620.0,747,46.1
X0_base,2024,204,41,40,20.1,19.6,2040.0,1202,58.9
X1_loss10,2024,204,41,40,20.1,19.6,2040.0,1202,58.9
X2_loss05,2024,204,41,40,20.1,19.6,2040.0,1202,58.9
X3_loss50_strong,2024,106,10,29,9.4,27.4,1060.0,330,31.2
X4_p_loss_lt_15,2024,108,0,0,0.0,0.0,1080.0,111,10.3
X5_p_loss_lt_10,2024,80,0,0,0.0,0.0,800.0,59,7.3
X7_strong_only,2024,103,12,27,11.7,26.2,1030.0,420,40.8
X9_no_2023_2024,2024,103,12,27,11.7,26.2,1030.0,420,40.8
X0_base,2025,200,126,2,63.0,1.0,2000.0,5125,256.3
X1_loss10,2025,200,126,2,63.0,1.0,2000.0,5125,256.3
X2_loss05,2025,200,126,2,63.0,1.0,2000.0,5125,256.3
X3_loss50_strong,2025,117,80,0,68.4,0.0,1170.0,2947,251.9
X4_p_loss_lt_15,2025,112,0,0,0.0,0.0,1120.0,180,16.1
X5_p_loss_lt_10,2025,71,0,0,0.0,0.0,710.0,86,12.0
X7_strong_only,2025,117,82,0,70.1,0.0,1170.0,3017,257.9
X9_no_2023_2024,2025,158,101,3,63.9,1.9,1580.0,3689,233.5
X0_base,2026,81,32,1,39.5,1.2,810.0,949,117.1
X1_loss10,2026,81,32,1,39.5,1.2,810.0,949,117.1
X2_loss05,2026,81,32,1,39.5,1.2,810.0,949,117.1
X3_loss50_strong,2026,81,33,1,40.7,1.2,810.0,965,119.1
X4_p_loss_lt_15,2026,12,0,0,0.0,0.0,120.0,32,26.6
X5_p_loss_lt_10,2026,7,0,0,0.0,0.0,70.0,24,34.8
X7_strong_only,2026,81,32,1,39.5,1.2,810.0,949,117.1
X9_no_2023_2024,2026,81,32,1,39.5,1.2,810.0,949,117.1
