feature,importance
외인소진율_num,0.06801244493745083
range120_pct,0.05146947591054249
Amount,0.047075472795703795
past_240,0.04174438343567587
PER_num,0.04046743599445406
days_since_52w_low,0.035294927069462675
slope120,0.031263906904424876
past_60,0.029524033376200038
range60_pct,0.02632451580420314
For_5d,0.02573367398575018
past_20,0.025443318531110086
vol60,0.024498384235771508
pos_240_high,0.023810621169193684
drawdown60,0.023758013771614704
slope60,0.023649491889743274
past_120,0.023353472632556004
pos_252_high,0.023131027447902307
PBR_num,0.022654542513889785
ma5,0.022519023430607524
ma10,0.022457435580975352
runup60,0.021732275500889832
ma3,0.021225858257394113
For_20d,0.0211754773895167
pre_20d_vol_ratio,0.020258322343357612
days_since_52w_high,0.019070356322382728
cum_5d_gain,0.018367904059493078
rs_ratio,0.01818079172390355
past_5d,0.017546332548558884
Inst_5d,0.01701955063839363
vol20,0.016904755068909764
pre_10d_max_high_ratio,0.016801540143476058
pre_5d_max_high_ratio,0.016665209434461016
vol_ratio,0.016561124517387983
pre_10d_drawdown,0.016388778276275502
pre_5d_vol_trend,0.01636688636993163
pre_5d_min_low_ratio,0.016009086548934195
Inst_20d,0.015998085023030947
pos_120_high,0.01541675372610652
candle_pct,0.014336878294311068
pos_60_high,0.012422269865716923
Score,0.00667766776092005
long_red_count_5d,0.004231093123747043
long_red_in_10d,0.003645017585577767
consecutive_red_max,0.0031872401212334595
gap_up_count_5d,0.0016251439388578468
