YYYYMM,n,avg_ret,avg_peak,SW_n,w100_n,w50_n
2020-04,4,54.35562792152185,111.76695443351457,0,2,4
2020-05,4,162.21101395211264,246.06403240019208,2,4,4
2020-06,2,92.61405055396725,163.60555683121203,0,2,2
2021-01,3,-0.13045107764825778,52.07005021358935,0,1,1
2021-02,4,12.464534829059788,50.965517748925215,0,1,1
2021-03,5,88.24306824213141,146.0864382721864,1,2,3
2021-04,4,-3.6701702919440162,19.654929053487685,0,0,0
2021-05,4,38.762246989529196,134.67685338183432,1,2,2
2021-10,3,-2.7205182008582676,76.50384596577936,0,1,1
2021-11,4,-1.7561899389789861,101.78437093018358,1,1,1
2021-12,5,6.441301557333946,50.93288173462872,0,0,3
2022-01,4,-19.888349316021753,51.098492894947356,0,1,1
2022-02,5,-3.771191858921695,42.72070449971322,0,1,1
2022-03,4,30.277576740582344,79.11618981293248,0,1,2
2022-04,1,-38.34254143646408,4.8618784530386705,0,0,0
2022-07,3,18.733843499333094,43.17016414541354,0,0,1
2022-08,4,11.96871287071579,34.28181866359202,0,0,2
2022-09,5,5.63922412831244,34.44961679651961,0,1,1
2022-10,3,-24.16699077512891,12.794068188785138,0,0,0
2022-11,4,100.9409820085352,121.10491210295241,1,2,3
2022-12,5,29.400186318700314,50.54575564487269,0,1,2
2023-01,2,52.401813291680476,127.70943192972302,0,1,2
2023-04,4,-4.5705598282082756,24.886062937486926,0,0,0
2023-05,4,-0.8409694887572088,29.424727241682703,0,0,0
2023-06,5,44.87579760720282,84.8765191895531,0,2,4
2023-07,5,30.364983338393955,81.42369346577809,0,2,4
2023-08,3,-5.617643970143078,6.961277453046514,0,0,0
2023-09,5,8.057726018309864,50.23723699747417,0,0,2
2023-10,4,15.215354266281011,50.78935583897435,0,0,2
2023-11,3,18.90504580976321,66.14774507265929,0,1,1
2024-01,5,-4.384124967659797,41.215515215571166,0,0,1
2024-02,3,22.469106419052512,53.96885154880653,0,0,2
2024-03,4,-45.06692988625689,14.268044259593394,0,0,0
2024-04,4,-9.542035777633323,53.972606614252186,0,1,2
2024-05,5,-6.014782135460242,26.14299185366184,0,0,1
2024-06,4,54.094448204615745,95.23372779171055,1,2,3
2024-07,4,12.517954797535971,39.475566088003944,0,0,1
2024-08,5,33.30149511173604,65.26898626579792,1,1,1
2024-09,4,27.4035355839316,51.861959342118844,0,1,2
2024-10,4,97.20669118653865,146.55219490845167,2,2,2
2024-11,4,59.735652750672365,108.48867898380568,1,1,2
2024-12,4,23.78951679718864,59.50259345119538,0,1,2
2025-01,3,146.27350375969777,187.07543824214838,1,1,2
2025-02,3,95.17888645406391,120.72846994740111,0,2,2
2025-03,4,87.8123238095385,103.69164588634516,0,2,2
2025-04,5,54.24679689144034,103.25547509311711,1,1,4
2025-05,4,109.10388401664748,118.60071407303974,0,3,3
2025-06,4,36.99397554242379,72.99851571923054,0,2,2
2025-07,5,307.095211820484,329.6915377033978,2,2,2
2025-08,3,282.76321785912313,336.6670513914609,2,3,3
